Name,Tier,Num Types,Type 1,Type 2,Num Abilities,Ability 1,Ability 2,Ability 3,Has Negative Ability,HP,Attack,Defense,Special Attack,Special Defense,Speed,Base Stat Total,Next Evolution(s),Evolutionary Stage,Num Evolutionary Stages,Evolutionary Progress,Is Mega Evolution,Is Alternate Form,Num Moves,Moves,Defensive Boost Moves,Offensive Boost Moves,Max Defensive Boost Amount,Max Offensive Boost Amount,Recovery Moves,Priority STAB Attacks,Entry Hazards,Hazard Clearing Moves,Phazing Moves,Switch Attacks,High Prob Side FX Attacks,Constant Damage Attacks,Trapping Moves
Dartrix,No Tier,2,Grass,Flying,2,Long Reach,Overgrow,,0,78,75,75,70,70,52,420,['Decidueye'],2,3,0.6666666666666666,0,0,50,"{'Baton Pass', 'Toxic', 'Light Screen', 'Razor Leaf', 'Sucker Punch', 'Brave Bird', 'Ominous Wind', 'Haze', 'Frustration', 'Return', 'Echoed Voice', 'Steel Wing', 'Confuse Ray', 'Grass Pledge', 'Solar Beam', 'Shadow Claw', 'Roost', 'Protect', 'Attract', 'Grass Knot', 'Astonish', 'Curse', 'Rest', 'Synthesis', 'Facade', 'False Swipe', 'Sleep Talk', 'Confide', 'Leafage', 'Foresight', 'Sunny Day', 'Feather Dance', 'Double Team', 'Peck', 'Substitute', 'Safeguard', 'Tackle', 'Energy Ball', 'Swagger', 'Nasty Plot', 'Fury Attack', 'Defog', 'Nature Power', 'Leaf Blade', 'Work Up', 'Growl', 'Hidden Power', 'Pluck', 'Swords Dance', 'Round'}",set(),"{'Nasty Plot', 'Swords Dance', 'Work Up'}",0,2,"{'Synthesis', 'Roost'}",set(),set(),{'Defog'},set(),set(),set(),set(),set()
Darumaka,LC,1,Fire,,2,Hustle,Inner Focus,,0,70,90,45,15,45,50,315,['Darmanitan'],1,2,0.5,0,0,63,"{'Toxic', 'Flame Charge', 'Rock Slide', 'Rollout', 'Dig', 'Fire Blast', 'Extrasensory', 'Focus Energy', 'Frustration', 'Return', 'Brick Break', 'Solar Beam', 'Protect', 'Attract', 'Grass Knot', 'Strength', 'Belly Drum', 'Thief', 'Uproar', 'Rock Tomb', 'Fire Fang', 'Power-Up Punch', 'Rest', 'Encore', 'Endure', 'Flamethrower', 'Flare Blitz', 'Fire Punch', 'Fling', 'Focus Punch', 'Facade', 'Headbutt', 'Sleep Talk', 'Thrash', 'Zen Headbutt', 'Confide', 'Double Team', 'Secret Power', 'Take Down', 'Sunny Day', 'Substitute', 'Tackle', 'Rage', 'Swagger', 'Gyro Ball', 'Heat Wave', 'Overheat', 'Will-O-Wisp', 'Yawn', 'Roar', 'Round', 'Incinerate', 'Taunt', 'Superpower', 'Hammer Arm', 'Work Up', 'Snatch', 'Hidden Power', 'U-turn', 'Snore', 'Rock Smash', 'Flame Wheel', 'Endeavor'}",set(),"{'Belly Drum', 'Work Up'}",0,6,set(),set(),set(),set(),{'Roar'},{'U-turn'},"{'Headbutt', 'Rock Slide'}",set(),set()
Decidueye,RU,2,Grass,Ghost,2,Long Reach,Overgrow,,0,78,107,75,100,100,70,530,[],3,3,1.0,0,0,61,"{'Baton Pass', 'Toxic', 'Light Screen', 'Shadow Ball', 'Razor Leaf', 'Sucker Punch', 'Brave Bird', 'Ominous Wind', 'Haze', 'Low Sweep', 'Frustration', 'Return', 'Echoed Voice', 'Steel Wing', 'Confuse Ray', 'Grass Pledge', 'Solar Beam', 'Shadow Claw', 'Roost', 'Protect', 'Attract', 'Grass Knot', 'Astonish', 'Curse', 'Rest', 'Synthesis', 'Giga Impact', 'Facade', 'False Swipe', 'Sleep Talk', 'Shadow Sneak', 'Confide', 'Leafage', 'Phantom Force', 'Foresight', 'Feather Dance', 'Sunny Day', 'Peck', 'Double Team', 'Substitute', 'Safeguard', 'Tackle', 'Energy Ball', 'Swagger', 'Nasty Plot', 'Fury Attack', 'Defog', 'Nature Power', 'Round', 'Frenzy Plant', 'Leaf Blade', 'Spirit Shackle', 'Growl', 'Work Up', 'Hidden Power', 'Smack Down', 'U-turn', 'Acrobatics', 'Pluck', 'Swords Dance', 'Leaf Storm'}",set(),"{'Nasty Plot', 'Swords Dance', 'Work Up'}",0,2,"{'Synthesis', 'Roost'}",{'Shadow Sneak'},set(),{'Defog'},set(),{'U-turn'},set(),set(),set()
Dedenne,PU,2,Electric,Fairy,3,Cheek Pouch,Pickup,Plus,0,67,58,57,81,67,101,431,[],1,1,1.0,0,0,58,"{'Toxic', 'Wild Charge', 'Tail Whip', 'Super Fang', 'Iron Tail', 'Dig', 'Discharge', 'Flash', 'Recycle', 'Thunder Wave', 'Frustration', 'Return', 'Charge', 'Electroweb', 'Charge Beam', 'Play Rough', 'Helping Hand', 'Protect', 'Attract', 'Grass Knot', 'Last Resort', 'Thief', 'Cut', 'Rain Dance', 'Signal Beam', 'Parabolic Charge', 'Rest', 'Natural Gift', 'Giga Impact', 'Fling', 'Facade', 'Aerial Ace', 'Sleep Talk', 'Thunderbolt', 'Confide', 'Double Team', 'Secret Power', 'Sunny Day', 'Substitute', 'Nuzzle', 'Volt Switch', 'Shock Wave', 'Entrainment', 'Covet', 'Tackle', 'Thunder Shock', 'Charm', 'Swagger', 'Magnet Rise', 'Thunder', 'Retaliate', 'Eerie Impulse', 'Hidden Power', 'Tearful Look', 'Thunder Punch', 'Snore', 'U-turn', 'Round'}",set(),set(),0,0,set(),set(),set(),set(),set(),"{'Volt Switch', 'U-turn'}","{'Discharge', 'Iron Tail'}",set(),set()
Deerling,LC,2,Grass,Normal,3,Chlorophyll,Sap Sipper,Serene Grace,0,60,60,50,40,50,75,335,['Sawsbuck'],1,2,0.5,0,0,56,"{'Baton Pass', 'Toxic', 'Light Screen', 'Wild Charge', 'Jump Kick', 'Shadow Ball', 'Worry Seed', 'Flash', 'Thunder Wave', 'Frustration', 'Return', 'Echoed Voice', 'Solar Beam', 'Seed Bomb', 'Camouflage', 'Protect', 'Attract', 'Grass Knot', 'Last Resort', 'Double-Edge', 'Sand Attack', 'Rain Dance', 'Natural Gift', 'Rest', 'Leech Seed', 'Giga Drain', 'Synthesis', 'Feint Attack', 'Facade', 'Headbutt', 'Sleep Talk', 'Confide', 'Double Team', 'Bounce', 'Take Down', 'Sunny Day', 'Substitute', 'Secret Power', 'Safeguard', 'Tackle', 'Energy Ball', 'Grass Whistle', 'Charm', 'Swagger', 'Aromatherapy', 'Odor Sleuth', 'Nature Power', 'Retaliate', 'Work Up', 'Growl', 'Hidden Power', 'Fake Tears', 'Snore', 'Agility', 'Double Kick', 'Round'}",set(),"{'Agility', 'Work Up'}",0,2,{'Synthesis'},set(),set(),set(),set(),set(),{'Headbutt'},set(),set()
Deino,LC,2,Dark,Dragon,1,Hustle,,,0,52,65,50,45,50,38,300,['Zweilous'],1,3,0.3333333333333333,0,0,61,"{'Toxic', 'Rock Smash', 'Screech', 'Double Hit', 'Ice Fang', 'Outrage', 'Focus Energy', 'Body Slam', 'Draco Meteor', 'Frustration', 'Return', 'Thunder Wave', 'Aqua Tail', 'Thunder Fang', 'Protect', 'Attract', 'Dragon Pulse', 'Dragon Rage', 'Astonish', 'Dragon Rush', 'Strength', 'Thief', 'Earth Power', 'Spite', 'Uproar', 'Rain Dance', 'Fire Fang', 'Dragon Breath', 'Rest', 'Scary Face', 'Facade', 'Headbutt', 'Sleep Talk', 'Zen Headbutt', 'Confide', 'Double Team', 'Secret Power', 'Hyper Voice', 'Sunny Day', 'Substitute', 'Belch', 'Shock Wave', 'Dark Pulse', 'Tackle', 'Crunch', 'Swagger', 'Dragon Tail', 'Torment', 'Roar', 'Taunt', 'Incinerate', 'Bite', 'Head Smash', 'Work Up', 'Assurance', 'Superpower', 'Hidden Power', 'Snore', 'Psych Up', 'Slam', 'Round'}",set(),{'Work Up'},0,2,set(),set(),set(),set(),"{'Dragon Tail', 'Roar'}",set(),"{'Body Slam', 'Headbutt'}",set(),set()
Delcatty,PU,1,Normal,,3,Cute Charm,Normalize,Wonder Skin,0,70,65,65,55,55,90,400,[],2,2,1.0,0,0,86,"{'Toxic', 'Blizzard', 'Iron Tail', 'Double Slap', 'Dig', 'Body Slam', 'Return', 'Helping Hand', 'Strength', 'Giga Impact', 'Facade', 'Headbutt', 'Confide', 'Payback', 'Captivate', 'Retaliate', 'Work Up', 'Hidden Power', 'Baton Pass', 'Simple Beam', 'Sucker Punch', 'Rollout', 'Heal Bell', 'Thunder Wave', 'Frustration', 'Charge Beam', 'Wake-Up Slap', 'Mud Bomb', 'Rain Dance', 'Natural Gift', 'Thunderbolt', 'Zen Headbutt', 'Dream Eater', 'Safeguard', 'Tickle', 'Swagger', 'Fake Tears', 'Rock Smash', 'Sing', 'Flash', 'Echoed Voice', 'Solar Beam', 'Attract', 'Protect', 'Grass Knot', 'Last Resort', 'Defense Curl', 'Double-Edge', 'Assist', 'Mud-Slap', 'Rest', 'Endure', 'Feint Attack', 'Sleep Talk', 'Ice Beam', 'Secret Power', 'Foresight', 'Substitute', 'Hyper Voice', 'Sunny Day', 'Double Team', 'Shock Wave', 'Tackle', 'Thunder', 'Growl', 'Round', 'Wild Charge', 'Tail Whip', 'Shadow Ball', 'Mimic', 'Disarming Voice', 'Copycat', 'Swift', 'Play Rough', 'Uproar', 'Calm Mind', 'Icy Wind', 'Fake Out', 'Hyper Beam', 'Water Pulse', 'Covet', 'Charm', 'Wish', 'Cosmic Power', 'Snore', 'Psych Up'}","{'Cosmic Power', 'Calm Mind'}","{'Calm Mind', 'Work Up'}",2,2,{'Wish'},{'Fake Out'},set(),set(),set(),set(),"{'Body Slam', 'Headbutt', 'Iron Tail'}",set(),set()
Delibird,PU,2,Flying,Ice,3,Hustle,Insomnia,Vital Spirit,0,45,55,45,65,45,75,330,[],1,1,1.0,0,0,72,"{'Toxic', 'Sky Attack', 'Blizzard', 'Detect', 'Ice Ball', 'Mimic', 'Rollout', 'Hail', 'Seismic Toss', 'Body Slam', 'Recycle', 'Frustration', 'Mega Punch', 'Return', 'Brick Break', 'Fly', 'Seed Bomb', 'Splash', 'Swift', 'Protect', 'Attract', 'Double-Edge', 'Freeze-Dry', 'Curse', 'Thief', 'Rain Dance', 'Signal Beam', 'Aurora Veil', 'Power-Up Punch', 'Mud-Slap', 'Rest', 'Drill Peck', 'Endure', 'Natural Gift', 'Ice Punch', 'Fling', 'Focus Punch', 'Facade', 'Headbutt', 'Ice Beam', 'Sleep Talk', 'Aerial Ace', 'Brutal Swing', 'Confide', 'Icy Wind', 'Bounce', 'Fake Out', 'Substitute', 'Double Team', 'Secret Power', 'Counter', 'Aurora Beam', 'Quick Attack', 'Mega Kick', 'Captivate', 'Water Pulse', 'Avalanche', 'Swagger', 'Destiny Bond', 'Defog', 'Frost Breath', 'Present', 'Bestow', 'Hidden Power', 'Future Sight', 'Spikes', 'Gunk Shot', 'Snore', 'Ice Shard', 'Pluck', 'Rapid Spin', 'Round'}",set(),set(),0,0,set(),{'Ice Shard'},{'Spikes'},"{'Defog', 'Rapid Spin'}",set(),set(),"{'Gunk Shot', 'Body Slam', 'Headbutt'}",{'Seismic Toss'},set()
Delphox,NU,2,Fire,Psychic,2,Blaze,Magician,,0,75,69,72,114,100,104,534,[],3,3,1.0,0,0,77,"{'Toxic', 'Trick', 'Iron Tail', 'Return', 'Psychic', 'Giga Impact', 'Facade', 'Confide', 'Ember', 'Fire Pledge', 'Overheat', 'Incinerate', 'Snatch', 'Work Up', 'Hidden Power', 'Light Screen', 'Hypnosis', 'Flame Charge', 'Switcheroo', 'Recycle', 'Frustration', 'Scratch', 'Cut', 'Rain Dance', 'Power-Up Punch', 'Flamethrower', 'Zen Headbutt', 'Dream Eater', 'Trick Room', 'Safeguard', 'Swagger', 'Skill Swap', 'Lucky Chant', 'Magic Coat', 'Fire Blast', 'Psybeam', 'Echoed Voice', 'Fire Spin', 'Solar Beam', 'Protect', 'Attract', 'Grass Knot', 'Thief', 'Magic Room', 'Rest', 'Fire Punch', 'Psychic Terrain', 'Sleep Talk', 'Double Team', 'Wonder Room', 'Howl', 'Sunny Day', 'Substitute', 'Secret Power', 'Shock Wave', 'Heat Wave', 'Will-O-Wisp', 'Future Sight', 'Thunder Punch', 'Round', 'Embargo', 'Shadow Ball', 'Tail Whip', 'Low Kick', 'Mystical Fire', 'Psyshock', 'Role Play', 'Signal Beam', 'Calm Mind', 'Hyper Beam', 'Covet', 'Dazzling Gleam', 'Foul Play', 'Wish', 'Blast Burn', 'Snore', 'Psych Up'}",{'Calm Mind'},"{'Calm Mind', 'Work Up'}",1,2,{'Wish'},set(),set(),set(),set(),set(),{'Iron Tail'},set(),set()
Deoxys,Uber,1,Psychic,,1,Pressure,,,0,50,150,50,150,50,150,600,[],1,1,1.0,0,0,99,"{'Toxic', 'Trick', 'Low Sweep', 'Body Slam', 'Return', 'Psychic', 'Strength', 'Giga Impact', 'Fling', 'Focus Punch', 'Facade', 'Aerial Ace', 'Headbutt', 'Confide', 'Psych Up', 'Torment', 'Snatch', 'Hidden Power', 'Light Screen', 'Rock Slide', 'Recycle', 'Stealth Rock', 'Thunder Wave', 'Frustration', 'Brick Break', 'Charge Beam', 'Cut', 'Rain Dance', 'Flash Cannon', 'Power-Up Punch', 'Natural Gift', 'Recover', 'Teleport', 'Thunderbolt', 'Zen Headbutt', 'Dream Eater', 'Trick Room', 'Safeguard', 'Energy Ball', 'Avalanche', 'Swagger', 'Skill Swap', 'Taunt', 'Rock Smash', 'Bind', 'Magic Coat', 'Psycho Boost', 'Flash', 'Solar Beam', 'Protect', 'Grass Knot', 'Drain Punch', 'Double-Edge', 'Leer', 'Knock Off', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Fire Punch', 'Ally Switch', 'Focus Blast', 'Ice Beam', 'Sleep Talk', 'Double Team', 'Wonder Room', 'Substitute', 'Sunny Day', 'Secret Power', 'Shock Wave', 'Thunder', 'Thunder Punch', 'Round', 'Shadow Ball', 'Mimic', 'Seismic Toss', 'Poison Jab', 'Swift', 'Low Kick', 'Reflect', 'Gravity', 'Psyshock', 'Role Play', 'Signal Beam', 'Pursuit', 'Calm Mind', 'Ice Punch', 'Nightmare', 'Brutal Swing', 'Icy Wind', 'Hyper Beam', 'Dark Pulse', 'Water Pulse', 'Night Shade', 'Psycho Shift', 'Cosmic Power', 'Wrap', 'Snore', 'Telekinesis'}","{'Cosmic Power', 'Calm Mind'}",{'Calm Mind'},2,1,{'Recover'},set(),{'Stealth Rock'},set(),set(),set(),"{'Body Slam', 'Headbutt', 'Rock Slide', 'Poison Jab'}","{'Night Shade', 'Seismic Toss'}",set()
Deoxys-Attack,Uber,1,Psychic,,1,Pressure,,,0,50,180,20,180,20,150,600,[],1,1,1.0,0,1,96,"{'Toxic', 'Trick', 'Low Sweep', 'Body Slam', 'Return', 'Psychic', 'Strength', 'Giga Impact', 'Fling', 'Focus Punch', 'Facade', 'Aerial Ace', 'Headbutt', 'Confide', 'Mega Kick', 'Psych Up', 'Torment', 'Superpower', 'Snatch', 'Hidden Power', 'Light Screen', 'Rock Slide', 'Recycle', 'Stealth Rock', 'Thunder Wave', 'Frustration', 'Mega Punch', 'Brick Break', 'Charge Beam', 'Cut', 'Rain Dance', 'Flash Cannon', 'Power-Up Punch', 'Natural Gift', 'Teleport', 'Thunderbolt', 'Zen Headbutt', 'Dream Eater', 'Trick Room', 'Safeguard', 'Energy Ball', 'Avalanche', 'Swagger', 'Skill Swap', 'Taunt', 'Rock Smash', 'Bind', 'Magic Coat', 'Psycho Boost', 'Flash', 'Solar Beam', 'Protect', 'Grass Knot', 'Drain Punch', 'Double-Edge', 'Zap Cannon', 'Leer', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Ally Switch', 'Focus Blast', 'Sleep Talk', 'Ice Beam', 'Double Team', 'Wonder Room', 'Substitute', 'Sunny Day', 'Secret Power', 'Counter', 'Shock Wave', 'Thunder', 'Round', 'Shadow Ball', 'Mimic', 'Seismic Toss', 'Poison Jab', 'Low Kick', 'Reflect', 'Gravity', 'Psyshock', 'Role Play', 'Signal Beam', 'Pursuit', 'Calm Mind', 'Brutal Swing', 'Hyper Beam', 'Dark Pulse', 'Water Pulse', 'Night Shade', 'Psycho Shift', 'Cosmic Power', 'Wrap', 'Snore', 'Telekinesis'}","{'Cosmic Power', 'Calm Mind'}",{'Calm Mind'},2,1,set(),set(),{'Stealth Rock'},set(),set(),set(),"{'Body Slam', 'Headbutt', 'Rock Slide', 'Poison Jab'}","{'Night Shade', 'Seismic Toss'}",set()
Deoxys-Defense,Uber,1,Psychic,,1,Pressure,,,0,50,70,160,70,160,90,600,[],1,1,1.0,0,1,98,"{'Toxic', 'Trick', 'Low Sweep', 'Body Slam', 'Return', 'Mirror Coat', 'Psychic', 'Strength', 'Giga Impact', 'Fling', 'Focus Punch', 'Facade', 'Aerial Ace', 'Headbutt', 'Confide', 'Mega Kick', 'Psych Up', 'Torment', 'Snatch', 'Hidden Power', 'Light Screen', 'Rock Slide', 'Recycle', 'Stealth Rock', 'Thunder Wave', 'Frustration', 'Mega Punch', 'Brick Break', 'Charge Beam', 'Cut', 'Rain Dance', 'Flash Cannon', 'Power-Up Punch', 'Natural Gift', 'Recover', 'Teleport', 'Thunderbolt', 'Zen Headbutt', 'Dream Eater', 'Trick Room', 'Safeguard', 'Energy Ball', 'Avalanche', 'Swagger', 'Skill Swap', 'Taunt', 'Spikes', 'Rock Smash', 'Bind', 'Magic Coat', 'Psycho Boost', 'Flash', 'Solar Beam', 'Protect', 'Grass Knot', 'Drain Punch', 'Double-Edge', 'Leer', 'Knock Off', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Ally Switch', 'Focus Blast', 'Sleep Talk', 'Ice Beam', 'Double Team', 'Secret Power', 'Wonder Room', 'Substitute', 'Sunny Day', 'Counter', 'Shock Wave', 'Thunder', 'Round', 'Shadow Ball', 'Mimic', 'Seismic Toss', 'Poison Jab', 'Low Kick', 'Reflect', 'Gravity', 'Psyshock', 'Role Play', 'Signal Beam', 'Calm Mind', 'Amnesia', 'Brutal Swing', 'Hyper Beam', 'Iron Defense', 'Dark Pulse', 'Water Pulse', 'Night Shade', 'Psycho Shift', 'Wrap', 'Snore', 'Telekinesis'}","{'Calm Mind', 'Iron Defense', 'Amnesia'}",{'Calm Mind'},2,1,{'Recover'},set(),"{'Stealth Rock', 'Spikes'}",set(),set(),set(),"{'Body Slam', 'Headbutt', 'Rock Slide', 'Poison Jab'}","{'Night Shade', 'Seismic Toss'}",set()
Deoxys-Speed,Uber,1,Psychic,,1,Pressure,,,0,50,95,90,95,90,180,600,[],1,1,1.0,0,1,102,"{'Toxic', 'Trick', 'Dynamic Punch', 'Low Sweep', 'Body Slam', 'Return', 'Psychic', 'Strength', 'Giga Impact', 'Fling', 'Focus Punch', 'Facade', 'Aerial Ace', 'Headbutt', 'Confide', 'Mega Kick', 'Psych Up', 'Torment', 'Snatch', 'Hidden Power', 'Light Screen', 'Rock Slide', 'Recycle', 'Stealth Rock', 'Thunder Wave', 'Frustration', 'Mega Punch', 'Brick Break', 'Charge Beam', 'Cut', 'Rain Dance', 'Flash Cannon', 'Power-Up Punch', 'Natural Gift', 'Recover', 'Thunderbolt', 'Zen Headbutt', 'Dream Eater', 'Trick Room', 'Safeguard', 'Energy Ball', 'Avalanche', 'Swagger', 'Skill Swap', 'Extreme Speed', 'Taunt', 'Rock Smash', 'Bind', 'Magic Coat', 'Psycho Boost', 'Flash', 'Solar Beam', 'Protect', 'Grass Knot', 'Drain Punch', 'Double-Edge', 'Leer', 'Knock Off', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Fire Punch', 'Ally Switch', 'Focus Blast', 'Sleep Talk', 'Ice Beam', 'Double Team', 'Wonder Room', 'Substitute', 'Sunny Day', 'Secret Power', 'Counter', 'Shock Wave', 'Thunder', 'Thunder Punch', 'Agility', 'Round', 'Shadow Ball', 'Mimic', 'Seismic Toss', 'Poison Jab', 'Swift', 'Low Kick', 'Reflect', 'Gravity', 'Psyshock', 'Role Play', 'Signal Beam', 'Pursuit', 'Calm Mind', 'Ice Punch', 'Brutal Swing', 'Icy Wind', 'Hyper Beam', 'Dark Pulse', 'Water Pulse', 'Night Shade', 'Psycho Shift', 'Wrap', 'Snore', 'Telekinesis'}",{'Calm Mind'},"{'Agility', 'Calm Mind'}",1,2,{'Recover'},set(),{'Stealth Rock'},set(),set(),set(),"{'Body Slam', 'Headbutt', 'Rock Slide', 'Poison Jab'}","{'Night Shade', 'Seismic Toss'}",set()
Dewgong,PU,2,Ice,Water,3,Hydration,Ice Body,Thick Fat,0,90,70,80,70,95,70,475,[],2,2,1.0,0,0,77,"{'Toxic', 'Blizzard', 'Iron Tail', 'Body Slam', 'Return', 'Aqua Ring', 'Strength', 'Whirlpool', 'Perish Song', 'Giga Impact', 'Waterfall', 'Fling', 'Facade', 'Headbutt', 'Confide', 'Captivate', 'Belch', 'Entrainment', 'Surf', 'Water Gun', 'Hidden Power', 'Slam', 'Bide', 'Frustration', 'Pay Day', 'Rain Dance', 'Natural Gift', 'Take Down', 'Dive', 'Smart Strike', 'Safeguard', 'Avalanche', 'Swagger', 'Ice Shard', 'Bubble Beam', 'Aqua Jet', 'Icicle Spear', 'Sheer Cold', 'Echoed Voice', 'Protect', 'Attract', 'Double-Edge', 'Curse', 'Thief', 'Rest', 'Endure', 'Ice Beam', 'Sleep Talk', 'Secret Power', 'Double Team', 'Substitute', 'Peck', 'Rage', 'Drill Run', 'Frost Breath', 'Horn Drill', 'Growl', 'Round', 'Mimic', 'Hail', 'Aqua Tail', 'Disable', 'Stockpile', 'Signal Beam', 'Encore', 'Brine', 'Icy Wind', 'Hyper Beam', 'Fake Out', 'Aurora Beam', 'Spit Up', 'Water Pulse', 'Skull Bash', 'Water Sport', 'Lick', 'Snore', 'Swallow'}",{'Stockpile'},set(),2,0,set(),"{'Ice Shard', 'Aqua Jet'}",set(),set(),set(),set(),"{'Body Slam', 'Headbutt', 'Iron Tail'}",set(),set()
Dewott,No Tier,1,Water,,2,Shell Armor,Torrent,,0,75,75,60,83,60,60,413,['Samurott'],2,3,0.6666666666666666,0,0,63,"{'Toxic', 'Water Pledge', 'Blizzard', 'Screech', 'Tail Whip', 'Detect', 'Iron Tail', 'Aqua Jet', 'Hail', 'Dig', 'Focus Energy', 'Frustration', 'Return', 'Copycat', 'Aqua Tail', 'Protect', 'Helping Hand', 'Attract', 'Grass Knot', 'Cut', 'Rain Dance', 'Scald', 'Rest', 'Encore', 'Razor Shell', 'Waterfall', 'Fury Cutter', 'Fling', 'Brine', 'Facade', 'Sleep Talk', 'Ice Beam', 'Aerial Ace', 'False Swipe', 'Confide', 'Icy Wind', 'Double Team', 'Substitute', 'Night Slash', 'Secret Power', 'Dive', 'Water Pulse', 'Tackle', 'Covet', 'Surf', 'Swagger', 'Water Gun', 'Water Sport', 'Retaliate', 'Trump Card', 'Taunt', 'Air Slash', 'Sacred Sword', 'Hydro Pump', 'Revenge', 'Assurance', 'Work Up', 'Hidden Power', 'X-Scissor', 'Snore', 'Rock Smash', 'Swords Dance', 'Round'}",set(),"{'Swords Dance', 'Work Up'}",0,2,set(),{'Aqua Jet'},set(),set(),set(),set(),"{'Air Slash', 'Iron Tail'}",set(),set()
Dewpider,LC,2,Water,Bug,2,Water Absorb,Water Bubble,,0,38,40,52,40,72,27,269,['Araquanid'],1,2,0.5,0,0,42,"{'Toxic', 'Blizzard', 'Bubble Beam', 'Poison Jab', 'Frustration', 'Return', 'Spider Web', 'Aqua Ring', 'Mirror Coat', 'Infestation', 'Protect', 'Attract', 'Stockpile', 'Power Split', 'Rain Dance', 'Scald', 'Bubble', 'Rest', 'Waterfall', 'Leech Life', 'Facade', 'Ice Beam', 'Sleep Talk', 'Lunge', 'Confide', 'Double Team', 'Substitute', 'Aurora Beam', 'Entrainment', 'Bug Bite', 'Spit Up', 'Surf', 'Crunch', 'Swagger', 'Sticky Web', 'Frost Breath', 'Water Sport', 'Bite', 'Hidden Power', 'X-Scissor', 'Liquidation', 'Round'}",{'Stockpile'},set(),2,0,set(),set(),set(),set(),set(),set(),{'Poison Jab'},set(),{'Spider Web'}
Dhelmise,RU,2,Ghost,Grass,1,Steelworker,,,0,70,131,100,86,90,40,517,[],1,1,1.0,0,0,52,"{'Toxic', 'Embargo', 'Shadow Ball', 'Switcheroo', 'Metal Sound', 'Rock Slide', 'Heavy Slam', 'Frustration', 'Mega Drain', 'Return', 'Brick Break', 'Shadow Claw', 'Solar Beam', 'Growth', 'Protect', 'Attract', 'Grass Knot', 'Astonish', 'Power Whip', 'Thief', 'Absorb', 'Whirlpool', 'Rain Dance', 'Flash Cannon', 'Earthquake', 'Rest', 'Giga Drain', 'Giga Impact', 'Bulldoze', 'Facade', 'Aerial Ace', 'Sleep Talk', 'Sludge Wave', 'Brutal Swing', 'Confide', 'Double Team', 'Phantom Force', 'Sunny Day', 'Hyper Beam', 'Payback', 'Substitute', 'Energy Ball', 'Surf', 'Swagger', 'Gyro Ball', 'Anchor Shot', 'Hidden Power', 'Wrap', 'Slam', 'Swords Dance', 'Rapid Spin', 'Round'}",set(),{'Swords Dance'},0,2,set(),set(),set(),{'Rapid Spin'},set(),set(),{'Rock Slide'},set(),set()
Dialga,Uber,2,Dragon,Steel,2,Pressure,Telepathy,,0,100,120,120,150,100,90,680,[],1,1,1.0,0,0,80,"{'Toxic', 'Blizzard', 'Iron Tail', 'Draco Meteor', 'Return', 'Dragon Pulse', 'Strength', 'Giga Impact', 'Fury Cutter', 'Facade', 'Aerial Ace', 'Headbutt', 'Confide', 'Roar of Time', 'Overheat', 'Incinerate', 'Hidden Power', 'Rock Slide', 'Outrage', 'Stealth Rock', 'Thunder Wave', 'Frustration', 'Brick Break', 'Shadow Claw', 'Twister', 'Cut', 'Rain Dance', 'Flash Cannon', 'Earthquake', 'Natural Gift', 'Flamethrower', 'Bulldoze', 'Thunderbolt', 'Power Gem', 'Trick Room', 'Safeguard', 'Swagger', 'Iron Head', 'Rock Smash', 'Metal Claw', 'Fire Blast', 'Flash', 'Stone Edge', 'Sandstorm', 'Echoed Voice', 'Protect', 'Rock Tomb', 'Mud-Slap', 'Rest', 'Endure', 'Scary Face', 'Sleep Talk', 'Ice Beam', 'Bulk Up', 'Slash', 'Double Team', 'Secret Power', 'Hyper Voice', 'Sunny Day', 'Substitute', 'Shock Wave', 'Magnet Rise', 'Thunder', 'Roar', 'Round', 'Metal Burst', 'Swift', 'Gravity', 'Earth Power', 'Dragon Breath', 'Ancient Power', 'Hone Claws', 'Aura Sphere', 'Hyper Beam', 'Iron Defense', 'Dragon Tail', 'Dragon Claw', 'Heal Block', 'Snore', 'Psych Up'}","{'Bulk Up', 'Iron Defense'}","{'Bulk Up', 'Hone Claws'}",2,2,set(),set(),{'Stealth Rock'},set(),"{'Dragon Tail', 'Roar'}",set(),"{'Iron Head', 'Headbutt', 'Rock Slide', 'Iron Tail'}",set(),set()
