Name;Types;Abilities;Tier;HP;Attack;Defense;Special Attack;Special Defense;Speed;Next Evolution(s);Moves
Dewott;['Water'];['Shell Armor', 'Torrent'];;75;75;60;83;60;60;['Samurott'];['Tackle', 'Tail Whip', 'Water Gun', 'Water Sport', 'Tail Whip', 'Water Gun', 'Water Sport', 'Focus Energy', 'Razor Shell', 'Fury Cutter', 'Water Pulse', 'Revenge', 'Aqua Jet', 'Encore', 'Aqua Tail', 'Retaliate', 'Swords Dance', 'Hydro Pump', 'Air Slash', 'Assurance', 'Brine', 'Copycat', 'Detect', 'Night Slash', 'Sacred Sword', 'Screech', 'Trump Card', 'Aqua Tail', 'Covet', 'Helping Hand', 'Icy Wind', 'Iron Tail', 'Sleep Talk', 'Snore', 'Water Pledge', 'Water Pulse', 'Work Up', 'Toxic', 'Hail', 'Hidden Power', 'Taunt', 'Ice Beam', 'Blizzard', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Dig', 'Double Team', 'Aerial Ace', 'Facade', 'Rest', 'Attract', 'Round', 'False Swipe', 'Scald', 'Fling', 'Retaliate', 'Swords Dance', "X'Scissor", 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Surf', 'Waterfall', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Surf', 'Waterfall', 'Rock Smash', 'Dive']
Dewpider;['Water', 'Bug'];['Water Absorb', 'Water Bubble'];LC;38;40;52;40;72;27;['Araquanid'];['Water Sport', 'Bubble', 'Infestation', 'Spider Web', 'Bug Bite', 'Bubble Beam', 'Bite', 'Aqua Ring', 'Leech Life', 'Crunch', 'Lunge', 'Mirror Coat', 'Liquidation', 'Entrainment', 'Aurora Beam', 'Power Split', 'Spit Up', 'Sticky Web', 'Stockpile', 'Toxic', 'Hidden Power', 'Ice Beam', 'Blizzard', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Leech Life', 'Double Team', 'Facade', 'Rest', 'Attract', 'Round', 'Scald', 'Frost Breath', "X'Scissor", 'Infestation', 'Poison Jab', 'Swagger', 'Sleep Talk', 'Substitute', 'Surf', 'Waterfall', 'Confide']
Dhelmise;['Ghost', 'Grass'];['Steelworker'];RU;70;131;100;86;90;40;[];['Switcheroo', 'Absorb', 'Growth', 'Rapid Spin', 'Astonish', 'Mega Drain', 'Wrap', 'Gyro Ball', 'Metal Sound', 'Giga Drain', 'Whirlpool', 'Anchor Shot', 'Shadow Ball', 'Energy Ball', 'Slam', 'Heavy Slam', 'Phantom Force', 'Power Whip', 'Toxic', 'Hidden Power', 'Sunny Day', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Solar Beam', 'Earthquake', 'Return', 'Shadow Ball', 'Brick Break', 'Double Team', 'Sludge Wave', 'Aerial Ace', 'Facade', 'Rest', 'Attract', 'Thief', 'Round', 'Energy Ball', 'Brutal Swing', 'Embargo', 'Shadow Claw', 'Payback', 'Giga Impact', 'Gyro Ball', 'Swords Dance', 'Bulldoze', 'Rock Slide', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash Cannon', 'Surf', 'Confide']
Dialga;['Dragon', 'Steel'];['Pressure', 'Telepathy'];Uber;100;120;120;150;100;90;[];['Dragon Breath', 'Scary Face', 'Metal Claw', 'Ancient Power', 'Slash', 'Power Gem', 'Metal Burst', 'Dragon Claw', 'Earth Power', 'Aura Sphere', 'Iron Tail', 'Flash Cannon', 'Roar of Time', 'Heal Block', 'Earth Power', 'Slash', 'Flash Cannon', 'Aura Sphere', 'Ancient Power', 'Draco Meteor', 'Dragon Pulse', 'Earth Power', 'Fury Cutter', 'Gravity', 'Headbutt', 'Hyper Voice', 'Iron Defense', 'Iron Head', 'Iron Tail', 'Magnet Rise', "Mud'Slap", 'Outrage', 'Shock Wave', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Swift', 'Twister', 'Hone Claws', 'Dragon Claw', 'Roar', 'Toxic', 'Bulk Up', 'Hidden Power', 'Sunny Day', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Protect', 'Rain Dance', 'Safeguard', 'Frustration', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Earthquake', 'Return', 'Brick Break', 'Double Team', 'Shock Wave', 'Flamethrower', 'Sandstorm', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Round', 'Echoed Voice', 'Overheat', 'Incinerate', 'Endure', 'Dragon Pulse', 'Shadow Claw', 'Giga Impact', 'Flash', 'Stone Edge', 'Thunder Wave', 'Stealth Rock', 'Psych Up', 'Bulldoze', 'Rock Slide', 'Dragon Tail', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash Cannon', 'Trick Room', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Strength', 'Rock Smash']
Diancie;['Rock', 'Fairy'];['Clear Body'];NU;50;100;150;100;150;50;[];['Tackle', 'Harden', 'Rock Throw', 'Sharpen', 'Smack Down', 'Reflect', 'Stealth Rock', 'Guard Split', 'Ancient Power', 'Flail', 'Skill Swap', 'Power Gem', 'Trick Room', 'Stone Edge', 'Moonblast', 'Diamond Storm', 'Light Screen', 'Safeguard', 'After You', 'Covet', 'Earth Power', 'Endeavor', 'Gravity', 'Heal Bell', 'Helping Hand', 'Iron Defense', 'Last Resort', 'Magnet Rise', 'Skill Swap', 'Snore', 'Stealth Rock', 'Wonder Room', 'Psyshock', 'Calm Mind', 'Toxic', 'Hail', 'Hidden Power', 'Sunny Day', 'Hyper Beam', 'Light Screen', 'Protect', 'Safeguard', 'Frustration', 'Smack Down', 'Return', 'Psychic', 'Double Team', 'Reflect', 'Sandstorm', 'Rock Tomb', 'Facade', 'Rest', 'Round', 'Explosion', 'Giga Impact', 'Rock Polish', 'Flash', 'Stone Edge', 'Gyro Ball', 'Psych Up', 'Rock Slide', 'Swagger', 'Sleep Talk', 'Substitute', 'Trick Room', 'Secret Power', 'Nature Power', 'Dazzling Gleam', 'Confide']
Diancie-Mega;['Rock', 'Fairy'];['Magic Bounce'];OU;50;160;110;160;110;110;[];['Tackle', 'Harden', 'Rock Throw', 'Sharpen', 'Smack Down', 'Reflect', 'Stealth Rock', 'Guard Split', 'Ancient Power', 'Flail', 'Skill Swap', 'Power Gem', 'Trick Room', 'Stone Edge', 'Moonblast', 'Diamond Storm', 'Light Screen', 'Safeguard', 'After You', 'Covet', 'Earth Power', 'Endeavor', 'Gravity', 'Heal Bell', 'Helping Hand', 'Iron Defense', 'Last Resort', 'Magnet Rise', 'Skill Swap', 'Snore', 'Stealth Rock', 'Wonder Room', 'Psyshock', 'Calm Mind', 'Toxic', 'Hail', 'Hidden Power', 'Sunny Day', 'Hyper Beam', 'Light Screen', 'Protect', 'Safeguard', 'Frustration', 'Smack Down', 'Return', 'Psychic', 'Double Team', 'Reflect', 'Sandstorm', 'Rock Tomb', 'Facade', 'Rest', 'Round', 'Explosion', 'Giga Impact', 'Rock Polish', 'Flash', 'Stone Edge', 'Gyro Ball', 'Psych Up', 'Rock Slide', 'Swagger', 'Sleep Talk', 'Substitute', 'Trick Room', 'Secret Power', 'Nature Power', 'Dazzling Gleam', 'Confide']
Diggersby;['Normal', 'Ground'];['Cheek Pouch', 'Huge Power', 'Pickup'];UUBL;85;56;77;50;77;78;[];['Hammer Arm', 'Rototiller', 'Bulldoze', 'Swords Dance', 'Tackle', 'Agility', 'Leer', 'Quick Attack', 'Double Slap', "Mud'Slap", 'Take Down', 'Mud Shot', 'Double Kick', 'Odor Sleuth', 'Flail', 'Dig', 'Bounce', 'Super Fang', 'Facade', 'Earthquake', 'Hammer Arm', 'Double Slap', 'Defense Curl', 'Rollout', 'Spikes', 'Bounce', 'Earth Power', 'Endeavor', 'Fire Punch', 'Focus Punch', 'Foul Play', 'Gastro Acid', 'Gunk Shot', 'Ice Punch', 'Iron Head', 'Iron Tail', 'Knock Off', 'Last Resort', 'Low Kick', 'Recycle', 'Snatch', 'Snore', 'Super Fang', 'Superpower', 'Thunder Punch', 'Uproar', 'Work Up', 'Toxic', 'Bulk Up', 'Hidden Power', 'Hyper Beam', 'Protect', 'Frustration', 'Smack Down', 'Earthquake', 'Return', 'Dig', 'Brick Break', 'Double Team', 'Sludge Bomb', 'Sandstorm', 'Rock Tomb', 'Torment', 'Facade', 'Rest', 'Attract', 'Thief', 'Round', 'Fling', 'Brutal Swing', 'Payback', 'Giga Impact', 'Stone Edge', 'Swords Dance', 'Bulldoze', 'Rock Slide', 'Grass Knot', 'Swagger', 'Sleep Talk', "U'turn", 'Substitute', 'Wild Charge', 'Surf', 'Secret Power', 'Rock Smash', 'Nature Power', "Power'Up Punch", 'Confide', 'Cut', 'Surf', 'Strength', 'Rock Smash']
Diglett;['Ground'];['Arena Trap', 'Sand Force', 'Sand Veil'];LC;10;55;25;35;45;95;['Dugtrio'];['Scratch', 'Sand Attack', 'Scratch', 'Growl', 'Astonish', "Mud'Slap", 'Magnitude', 'Bulldoze', "Mud'Slap", 'Dig', 'Sand Attack', 'Fury Swipes', 'Sucker Punch', 'Mud Bomb', "Mud'Slap", 'Earth Power', 'Dig', 'Mud Bomb', 'Slash', 'Earthquake', 'Fissure', 'Ancient Power', 'Astonish', 'Beat Up', 'Endure', 'Feint Attack', 'Final Gambit', 'Headbutt', 'Memento', 'Mud Bomb', 'Pursuit', 'Reversal', 'Rock Slide', 'Screech', 'Uproar', 'Body Slam', "Double'Edge", 'Earth Power', 'Endure', 'Mimic', "Mud'Slap", 'Rock Slide', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Substitute', 'Sucker Punch', 'Swagger', 'Uproar', 'Curse', 'Hone Claws', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Protect', 'Endure', 'Frustration', 'Body Slam', 'Take Down', "Double'Edge", 'Rage', 'Earthquake', 'Return', 'Fissure', 'Dig', "Mud'Slap", 'Mimic', 'Double Team', 'Swagger', 'Sleep Talk', 'Sludge Bomb', 'Sandstorm', 'Bide', 'Rock Tomb', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Rock Slide', 'Attract', 'Thief', 'Endure', 'Round', 'Echoed Voice', 'Shadow Claw', 'Bulldoze', 'Stealth Rock', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Rock Smash']
Diglett-Alola;['Ground', 'Steel'];['Sand Force', 'Sand Veil', 'Tangling Hair'];LC;10;55;30;35;45;90;['Dugtrio-Alola'];['Sand Attack', 'Metal Claw', 'Growl', 'Astonish', "Mud'Slap", 'Magnitude', 'Bulldoze', 'Sucker Punch', 'Mud Bomb', 'Earth Power', 'Dig', 'Iron Head', 'Earthquake', 'Fissure', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Protect', 'Frustration', 'Earthquake', 'Return', 'Double Team', 'Sludge Bomb', 'Sandstorm', 'Rock Tomb', 'Aerial Ace', 'Facade', 'Rest', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Shadow Claw', 'Bulldoze', 'Rock Slide', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash Cannon', 'Confide']
Ditto;['Normal'];['Imposter', 'Limber'];PU;48;48;48;48;48;48;[];['Transform']
Dodrio;['Flying', 'Normal'];['Early Bird', 'Run Away', 'Tangled Feet'];NU;60;110;70;60;60;110;[];['Peck', 'Growl', 'Pursuit', 'Fury Attack', 'Pursuit', 'Pluck', 'Tri Attack', 'Tri Attack', 'Peck', 'Growl', 'Quick Attack', 'Rage', 'Quick Attack', 'Rage', 'Fury Attack', 'Pursuit', 'Uproar', 'Pluck', 'Double Hit', 'Agility', 'Uproar', 'Tri Attack', 'Rage', 'Acupressure', 'Drill Peck', 'Rage', 'Swords Dance', 'Jump Kick', 'Agility', 'Drill Peck', 'Tri Attack', 'Uproar', 'Agility', 'Drill Peck', 'Agility', 'Endeavor', 'Thrash', 'Double Hit', 'Assurance', 'Brave Bird', 'Endeavor', 'Feint Attack', 'Flail', 'Haze', 'Mirror Move', 'Natural Gift', 'Quick Attack', 'Supersonic', 'Air Cutter', 'Body Slam', "Double'Edge", 'Endeavor', 'Endure', 'Knock Off', 'Mimic', "Mud'Slap", 'Roost', 'Sky Attack', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Uproar', 'Whirlwind', 'Curse', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Snore', 'Taunt', 'Body Slam', 'Take Down', "Double'Edge", 'Hyper Beam', 'Rage', 'Mimic', 'Protect', 'Endure', 'Roost', 'Frustration', 'Return', "Mud'Slap", 'Double Team', 'Aerial Ace', 'Torment', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Swift', 'Reflect', 'Bide', 'Skull Bash', 'Sky Attack', 'Rest', 'Tri Attack', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Steel Wing', 'Roost', 'Endure', 'Payback', 'Giga Impact', 'Work Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swords Dance', 'Fly', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Secret Power', 'Confide', 'Fly']
Doduo;['Flying', 'Normal'];['Early Bird', 'Run Away', 'Tangled Feet'];LC;35;85;45;35;35;75;['Dodrio'];['Peck', 'Growl', 'Pursuit', 'Quick Attack', 'Rage', 'Fury Attack', 'Tri Attack', 'Rage', 'Pursuit', 'Drill Peck', 'Rage', 'Tri Attack', 'Uproar', 'Pluck', 'Double Hit', 'Agility', 'Uproar', 'Acupressure', 'Swords Dance', 'Jump Kick', 'Agility', 'Drill Peck', 'Uproar', 'Double Hit', 'Agility', 'Drill Peck', 'Endeavor', 'Thrash', 'Assurance', 'Brave Bird', 'Endeavor', 'Feint Attack', 'Flail', 'Haze', 'Mirror Move', 'Natural Gift', 'Quick Attack', 'Supersonic', 'Air Cutter', 'Body Slam', "Double'Edge", 'Endeavor', 'Endure', 'Knock Off', 'Mimic', "Mud'Slap", 'Roost', 'Sky Attack', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Uproar', 'Whirlwind', 'Curse', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Snore', 'Protect', 'Endure', 'Roost', 'Body Slam', 'Frustration', 'Return', "Mud'Slap", 'Take Down', "Double'Edge", 'Rage', 'Mimic', 'Double Team', 'Aerial Ace', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Swift', 'Reflect', 'Bide', 'Skull Bash', 'Sky Attack', 'Rest', 'Tri Attack', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Work Up', 'Steel Wing', 'Swords Dance', 'Fly', 'Roost', 'Endure', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Secret Power', 'Confide', 'Fly']
Donphan;['Ground'];['Sand Veil', 'Sturdy'];RU;90;120;120;60;60;50;[];['Fire Fang', 'Thunder Fang', 'Odor Sleuth', 'Horn Attack', 'Growl', 'Defense Curl', 'Flail', 'Fury Attack', 'Fury Attack', 'Fire Fang', 'Thunder Fang', 'Horn Attack', 'Bulldoze', 'Growl', 'Defense Curl', 'Rapid Spin', 'Knock Off', 'Rollout', 'Rapid Spin', 'Magnitude', 'Assurance', 'Knock Off', 'Slam', 'Fury Attack', 'Assurance', 'Magnitude', 'Scary Face', 'Earthquake', 'Giga Impact', 'Odor Sleuth', 'Tackle', 'Flail', 'Take Down', 'Natural Gift', 'Endure', 'Take Down', 'Charm', 'Last Resort', "Double'Edge", 'Ancient Power', 'Body Slam', 'Counter', 'Endeavor', 'Fissure', 'Focus Energy', 'Head Smash', 'Heavy Slam', 'High Horsepower', 'Ice Shard', "Mud'Slap", 'Play Rough', 'Snore', 'Water Gun', 'Ancient Power', 'Block', 'Body Slam', 'Bounce', 'Counter', 'Defense Curl', "Double'Edge", 'Earth Power', 'Endeavor', 'Endure', 'Gunk Shot', 'Headbutt', 'Hyper Voice', 'Iron Defense', 'Iron Tail', 'Knock Off', 'Last Resort', 'Mimic', "Mud'Slap", 'Rock Slide', 'Rollout', 'Seed Bomb', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Substitute', 'Superpower', 'Swagger', 'Headbutt', 'Curse', 'Rollout', 'Roar', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Hyper Beam', 'Protect', 'Endure', 'Frustration', 'Iron Tail', 'Earthquake', 'Return', "Mud'Slap", 'Double Team', 'Swagger', 'Sleep Talk', 'Sandstorm', 'Defense Curl', 'Rock Tomb', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Endure', 'Round', 'Echoed Voice', 'Brutal Swing', 'Giga Impact', 'Rock Polish', 'Stone Edge', 'Gyro Ball', 'Bulldoze', 'Stealth Rock', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Poison Jab', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Confide', 'Strength', 'Rock Smash']
Doublade;['Steel', 'Ghost'];['No Guard'];RU;59;110;150;45;49;35;['Aegislash'];['Tackle', 'Swords Dance', 'Fury Cutter', 'Fury Cutter', 'Metal Sound', 'Pursuit', 'Autotomize', 'Shadow Sneak', 'Aerial Ace', 'Retaliate', 'Slash', 'Iron Defense', 'Night Slash', 'Power Trick', 'Iron Head', 'Sacred Sword', 'Destiny Bond', 'Metal Sound', 'Shadow Sneak', 'Wide Guard', 'After You', 'Iron Defense', 'Iron Head', 'Magnet Rise', 'Shock Wave', 'Snore', 'Spite', 'Toxic', 'Hidden Power', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Brick Break', 'Double Team', 'Reflect', 'Aerial Ace', 'Facade', 'Rest', 'Attract', 'False Swipe', 'Brutal Swing', 'Shadow Claw', 'Retaliate', 'Gyro Ball', 'Swords Dance', 'Rock Slide', 'Swagger', 'Sleep Talk', 'Substitute', 'Flash Cannon', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Rock Smash']
Dragalge;['Poison', 'Dragon'];['Adaptability', 'Poison Point', 'Poison Touch'];RU;65;75;90;97;123;44;[];['Twister', 'Twister', 'Dragon Tail', 'Twister', 'Tackle', 'Smokescreen', 'Water Gun', 'Feint Attack', 'Feint Attack', 'Tail Whip', 'Bubble', 'Acid', 'Camouflage', 'Poison Tail', 'Water Pulse', 'Double Team', 'Toxic', 'Aqua Tail', 'Sludge Bomb', 'Hydro Pump', 'Dragon Pulse', 'Dragon Tail', 'Twister', 'Acid Armor', 'Haze', 'Play Rough', 'Toxic Spikes', 'Venom Drench', 'Aqua Tail', 'Bounce', 'Draco Meteor', 'Dragon Pulse', 'Gunk Shot', 'Icy Wind', 'Iron Tail', 'Outrage', 'Shock Wave', 'Snore', 'Water Pulse', 'Toxic', 'Hail', 'Venoshock', 'Hidden Power', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Thunderbolt', 'Thunder', 'Return', 'Shadow Ball', 'Double Team', 'Sludge Wave', 'Sludge Bomb', 'Facade', 'Rest', 'Attract', 'Round', 'Focus Blast', 'Scald', 'Giga Impact', 'Dragon Tail', 'Swagger', 'Sleep Talk', 'Substitute', 'Surf', 'Waterfall', 'Secret Power', 'Confide', 'Surf', 'Waterfall', 'Dive']
Dragonair;['Dragon'];['Marvel Scale', 'Shed Skin'];;61;84;65;70;70;70;['Dragonite'];['Wrap', 'Leer', 'Thunder Wave', 'Twister', 'Thunder Wave', 'Twister', 'Dragon Rage', 'Slam', 'Agility', 'Slam', 'Dragon Rage', 'Dragon Tail', 'Aqua Tail', 'Dragon Rush', 'Safeguard', 'Dragon Dance', 'Outrage', 'Hyper Beam', 'Aqua Jet', 'Dragon Breath', 'Dragon Dance', 'Dragon Pulse', 'Dragon Rush', 'Extreme Speed', 'Haze', 'Iron Tail', 'Light Screen', 'Mist', 'Supersonic', 'Water Pulse', 'Aqua Tail', 'Bind', 'Body Slam', "Double'Edge", 'Draco Meteor', 'Dragon Pulse', 'Endure', 'Flamethrower', 'Headbutt', 'Ice Beam', 'Icy Wind', 'Iron Tail', 'Mimic', 'Outrage', 'Shock Wave', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Thunder Wave', 'Thunderbolt', 'Twister', 'Water Pulse', 'Water Pulse', 'Headbutt', 'Curse', 'Toxic', 'Hail', 'Zap Cannon', 'Hidden Power', 'Snore', 'Sunny Day', 'Horn Drill', 'Body Slam', 'Take Down', "Double'Edge", 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Rage', 'Dragon Rage', 'Icy Wind', 'Hyper Beam', 'Light Screen', 'Protect', 'Rain Dance', 'Safeguard', 'Endure', 'Frustration', 'Iron Tail', 'Dragon Breath', 'Thunderbolt', 'Thunder', 'Mimic', 'Return', 'Double Team', 'Shock Wave', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Fire Blast', 'Facade', 'Secret Power', 'Swift', 'Detect', 'Skull Bash', 'Rest', 'Attract', 'Endure', 'Dragon Pulse', 'Round', 'Brutal Swing', 'Incinerate', 'Thunder Wave', 'Dragon Tail', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Surf', 'Whirlpool', 'Waterfall', 'Secret Power', 'Confide', 'Surf', 'Waterfall']
Dragonite;['Dragon', 'Flying'];['Inner Focus', 'Multiscale'];UUBL;91;134;95;100;100;80;[];['Hurricane', 'Fire Punch', 'Wrap', 'Wing Attack', 'Wing Attack', 'Hurricane', 'Fire Punch', 'Thunder Punch', 'Roost', 'Thunder Punch', 'Wrap', 'Leer', 'Thunder Wave', 'Leer', 'Twister', 'Agility', 'Thunder Wave', 'Twister', 'Dragon Rage', 'Slam', 'Agility', 'Slam', 'Dragon Rage', 'Dragon Tail', 'Aqua Tail', 'Dragon Rush', 'Safeguard', 'Dragon Dance', 'Wing Attack', 'Dragon Dance', 'Outrage', 'Hyper Beam', 'Hurricane', 'Aqua Jet', 'Dragon Breath', 'Dragon Dance', 'Dragon Pulse', 'Dragon Rush', 'Extreme Speed', 'Haze', 'Iron Tail', 'Light Screen', 'Mist', 'Supersonic', 'Water Pulse', 'Air Cutter', 'Aqua Tail', 'Bind', 'Body Slam', 'Dive', "Double'Edge", 'Draco Meteor', 'Dragon Pulse', 'Dynamic Punch', 'Endure', 'Fire Punch', 'Flamethrower', 'Focus Punch', 'Fury Cutter', 'Headbutt', 'Heat Wave', 'Ice Beam', 'Ice Punch', 'Icy Wind', 'Iron Head', 'Iron Tail', 'Mimic', "Mud'Slap", 'Ominous Wind', 'Outrage', 'Roost', 'Shock Wave', 'Sleep Talk', 'Snore', 'Substitute', 'Superpower', 'Swagger', 'Swift', 'Tailwind', 'Thunder Punch', 'Thunder Wave', 'Thunderbolt', 'Twister', 'Water Pulse', 'Razor Wind', 'Hone Claws', 'Focus Punch', 'Dragon Claw', 'Water Pulse', 'Roar', 'Dynamic Punch', 'Headbutt', 'Curse', 'Toxic', 'Hail', 'Zap Cannon', 'Rock Smash', 'Hidden Power', 'Snore', 'Sunny Day', 'Horn Drill', 'Body Slam', 'Take Down', "Double'Edge", 'Bubble Beam', 'Water Gun', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Rage', 'Dragon Rage', 'Light Screen', 'Icy Wind', 'Protect', 'Rain Dance', 'Endure', 'Roost', 'Safeguard', 'Frustration', 'Iron Tail', 'Dragon Breath', 'Thunderbolt', 'Thunder', 'Mimic', 'Earthquake', 'Return', 'Brick Break', "Mud'Slap", 'Double Team', 'Shock Wave', 'Flamethrower', 'Ice Punch', 'Swagger', 'Sleep Talk', 'Sandstorm', 'Reflect', 'Bide', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Facade', 'Secret Power', 'Swift', 'Thunder Punch', 'Detect', 'Skull Bash', 'Rest', 'Attract', 'Round', 'Steel Wing', 'Roost', 'Focus Blast', 'Fling', 'Sky Drop', 'Brutal Swing', 'Incinerate', 'Endure', 'Dragon Pulse', 'Giga Impact', 'Stone Edge', 'Fire Punch', 'Fury Cutter', 'Thunder Wave', 'Captivate', 'Fly', 'Bulldoze', 'Rock Slide', 'Dragon Tail', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Surf', 'Waterfall', 'Secret Power', 'Rock Smash', "Power'Up Punch", 'Confide', 'Cut', 'Fly', 'Surf', 'Strength', 'Waterfall', 'Whirlpool', 'Defog', 'Rock Smash', 'Waterfall', 'Dive']
Drampa;['Normal', 'Dragon'];['Berserk', 'Cloud Nine', 'Sap Sipper'];PU;78;60;85;135;91;36;[];['Play Nice', 'Echoed Voice', 'Twister', 'Protect', 'Glare', 'Light Screen', 'Dragon Rage', 'Natural Gift', 'Dragon Breath', 'Safeguard', 'Extrasensory', 'Dragon Pulse', 'Fly', 'Hyper Voice', 'Outrage', 'Dragon Rush', 'Hurricane', 'Mist', 'Play Rough', 'Razor Wind', 'Draco Meteor', 'Work Up', 'Dragon Claw', 'Calm Mind', 'Roar', 'Toxic', 'Hidden Power', 'Sunny Day', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Light Screen', 'Protect', 'Rain Dance', 'Roost', 'Safeguard', 'Frustration', 'Solar Beam', 'Thunderbolt', 'Thunder', 'Earthquake', 'Return', 'Shadow Ball', 'Double Team', 'Flamethrower', 'Fire Blast', 'Facade', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Steel Wing', 'Focus Blast', 'Energy Ball', 'Fling', 'Shadow Claw', 'Giga Impact', 'Thunder Wave', 'Fly', 'Psych Up', 'Bulldoze', 'Rock Slide', 'Dragon Tail', 'Grass Knot', 'Sleep Talk', 'Substitute', 'Surf', 'Snarl', 'Nature Power', 'Confide']
